step,epoch_index,offset_in_epoch,samples_in_step,mean_margin,epoch_boundary_step,SemVariants_count,SemVariants_ratio,VisVariants_count,VisVariants_ratio,DermQA_count,DermQA_ratio,SI1_count,SI1_ratio,SI2_count,SI2_ratio,loss,grad_norm,learning_rate,log_epoch
95,1,95,256,0.1268256826006109,False,35,0.13671875,50,0.1953125,14,0.0546875,75,0.29296875,82,0.3203125,,,,
96,1,96,256,0.12191541279025842,False,23,0.08984375,55,0.21484375,23,0.08984375,72,0.28125,83,0.32421875,,,,
97,1,97,256,0.13220774271758273,False,37,0.14453125,45,0.17578125,10,0.0390625,79,0.30859375,85,0.33203125,,,,
98,1,98,256,0.13344782518106513,False,34,0.1328125,43,0.16796875,26,0.1015625,70,0.2734375,83,0.32421875,,,,
99,1,99,256,0.1397296299401205,False,45,0.17578125,36,0.140625,21,0.08203125,75,0.29296875,79,0.30859375,,,,
100,1,100,256,0.12997851063119015,False,32,0.125,56,0.21875,14,0.0546875,72,0.28125,82,0.3203125,,,,
101,1,101,256,0.13298993540229276,False,32,0.125,39,0.15234375,20,0.078125,76,0.296875,89,0.34765625,,,,
102,1,102,256,0.14280675826012157,False,29,0.11328125,47,0.18359375,25,0.09765625,81,0.31640625,74,0.2890625,,,,
103,1,103,256,0.14729914363124408,False,37,0.14453125,37,0.14453125,10,0.0390625,82,0.3203125,90,0.3515625,,,,
104,1,104,256,0.13327477502753027,False,24,0.09375,44,0.171875,22,0.0859375,74,0.2890625,92,0.359375,,,,
105,1,105,256,0.1269930904963985,False,28,0.109375,56,0.21875,17,0.06640625,71,0.27734375,84,0.328125,,,,
106,1,106,256,0.1419862325565191,False,28,0.109375,47,0.18359375,21,0.08203125,83,0.32421875,77,0.30078125,,,,
107,1,107,256,0.12841970505542122,False,25,0.09765625,43,0.16796875,17,0.06640625,83,0.32421875,88,0.34375,,,,
108,1,108,256,0.12435861633275636,False,28,0.109375,45,0.17578125,29,0.11328125,70,0.2734375,84,0.328125,,,,
109,1,109,256,0.14301107663777657,False,29,0.11328125,41,0.16015625,28,0.109375,80,0.3125,78,0.3046875,,,,
110,1,110,256,0.12299661758879665,False,32,0.125,42,0.1640625,23,0.08984375,76,0.296875,83,0.32421875,,,,
111,1,111,256,0.15628201549770893,False,24,0.09375,48,0.1875,16,0.0625,94,0.3671875,74,0.2890625,,,,
